,0
0,Bloomberg 
1,John Paulson 
2,Morgan Stanley 
3,Bloomberg 
4,John Paulson 
5,Morgan Stanley 
6,Bloomberg 
7,Bloomberg 
8,Bloomberg 
9,Bloomberg 
10,Bloomberg 
11,Bloomberg Bloomberg Bloomberg 
12,Stanley 
13,Bloomberg 
14,Bloomberg 
15,Stanley 
16,Morgan Stanley 
17,Bloomberg 
18,Bloomberg 
19,Stanley 
20,Morgan Stanley 
21,Bill Ackman 
22,Bloomberg 
23,Bloomberg 
24,Bloomberg News 
25,Bloomberg 
26,Bloomberg 
27,Bloomberg 
28,Morgan Stanley 
29,Morgan Stanley 
30,Bloomberg 
31,Morgan Stanley 
32,Bloomberg Morgan Stanley 
33,Bloomberg 
34,Bloomberg 
35,Morgan Stanley 
36,Morgan Stanley 
37,Morgan Stanley 
38,Stanley 
39,Stanley 
40,Stanley 
41,Bloomberg 
42,Bloomberg 
43,Bloomberg 
44,Stanley 
45,Bloomberg Bloomberg 
46,Bloomberg 
47,Bloomberg 
48,Bloomberg 
49,Bloomberg 
50,Morgan Stanley 
51,Morgan Stanley 
52,Stanley 
53,Bloomberg 
54,Bloomberg 
55,Morgan Stanley 
56,Bloomberg 
57,Bloomberg 
58,Bloomberg 
59,Bloomberg 
60,Bloomberg 
61,Bloomberg 
62,Bloomberg 
63,Bloomberg News 
64,Bloomberg 
65,Bloomberg 
66,Stanley 
67,Bloomberg 
68,Bloomberg 
69,Bloomberg 
70,Bloomberg 
71,Bloomberg 
72,Bloomberg 
73,Bloomberg 
74,Bloomberg 
75,Bloomberg 
76,Bloomberg 
77,Morgan Stanley 
78,Stanley 
79,Bloomberg News 
80,Bloomberg 
81,Bloomberg 
82,Stanley 
83,Stanley 
84,Bloomberg 
85,Stanley 
86,Morgan Stanley 
87,Rosenberg 
88,Bloomberg 
89,Bloomberg 
90,Johnson 
91,Bloomberg 
92,Bloomberg 
93,Bloomberg 
94,Morgan Stanley 
95,Morgan Stanley 
96,Bloomberg 
97,Bloomberg 
98,Bloomberg 
99,Bloomberg 
100,Bloomberg 
101,Bloomberg 
102,Sandberg 
103,Bloomberg 
104,Bloomberg 
105,Greenberg 
106,Bloomberg 
107,Michael Bloomberg 
108,Stanley 
109,Morgan Stanley 
110,Morgan Stanley 
111,Bloomberg 
112,Morgan Stanley 
113,Stanley 
114,Morgan Stanley 
115,Bloomberg 
116,Bloomberg 
117,Bloomberg 
118,Bloomberg 
119,Morgan Stanley 
120,Morgan Stanley 
121,Bloomberg 
122,Bloomberg 
123,Morgan Stanley 
124,Bloomberg 
125,Bloomberg 
126,Morgan Stanley 
127,Bloomberg 
128,Bloomberg 
129,Morgan Stanley 
130,Bloomberg 
131,Bloomberg 
132,Morgan Stanley 
133,Bloomberg 
134,Bloomberg 
135,Morgan Stanley 
136,Stanley 
137,Bloomberg Brief Bloomberg Brief Bloomberg 
138,Bloomberg News 
139,Bloomberg 
140,Morgan Stanley 
141,Morgan Stanley 
142,Johnson 
143,Morgan Stanley 
144,Morgan Stanley 
145,Bloomberg 
146,Bloomberg 
147,Bloomberg 
148,Morgan Stanley 
149,Morgan Stanley 
150,Bloomberg 
151,Stanley 
152,Morgan Stanley 
153,Stanley 
154,Bloomberg 
155,Bloomberg 
156,Kitzenberg 
157,Blog Bloomberg 
158,Bloomberg 
159,Bloomberg 
160,Bloomberg 
