,0
0,Facebook 
1,Facebook 
2,Goldman 
3,Goldman 
4,Harry 
5,Apple 
6,Goldman 
7,Goldman 
8,Apple 
9,Apple 
10,Goldman Sachs 
11,Goldman 
12,Citi 
13,Goldman 
14,Goldman 
15,Krugman 
16,Goldman 
17,Amazon 
18,Morgan 
19,Goldman Sachs 
20,Citi 
21,Greenberg 
22,Morgan 
23,Herbalife 
24,Ackman 
25,Herbalife 
26,Herbalife 
27,Greenberg 
28,Kahneman 
29,Apple 
30,Apple 
31,Apple 
32,Apple 
33,Apple 
34,Apple 
35,Apple 
36,Apple 
37,Apple 
38,Goldman Sachs 
39,Herbalife 
40,Morgan 
41,Paul 
42,Business Insider 
43,Ackman 
44,Ackman 
45,Ackman 
46,Ackman 
47,Herbalife 
48,Ackman 
49,Herbalife 
50,Herbalife 
51,Herbalife 
52,Apple 
53,Apple 
54,Apple 
55,Ackman 
56,Apple 
57,Goldman 
58,Michigan 
59,Michigan 
60,Nelson 
61,Goldman 
62,Apple 
63,Morgan 
64,Goldman Sachs 
65,Facebook 
66,Facebook 
67,Facebook 
68,Gorman 
69,Herbalife 
70,Ackman 
71,Herbalife 
72,Herbalife 
73,Herbalife 
74,Herbalife 
75,Herbalife 
76,Herbalife 
77,Ackman 
78,Ackman 
79,Apple 
80,Apple 
81,Apple 
82,Ackman 
83,Goldman 
84,Germany 
85,Facebook 
86,Facebook 
87,Facebook 
88,Facebook 
89,Apple 
90,Goldman 
91,Ackman 
92,Goldman 
93,Herbalife 
94,Goldman 
95,Apple 
96,Apple 
97,Apple 
98,Apple 
99,Apple 
100,Apple 
101,Apple 
102,Apple 
103,Apple 
104,Apple 
105,Apple 
106,Apple 
107,Apple 
108,Apple 
109,Apple 
110,Apple 
111,Citi 
112,Ackman 
113,Goldman 
114,Goldman 
115,Michigan 
116,Michigan 
117,Goldman Sachs 
118,Goldman 
119,Goldman 
120,Apple 
121,Apple 
122,Morgan 
123,Morgan 
124,Apple 
125,Apple 
126,Apple 
127,Apple 
128,Ackman 
129,Ackman 
130,Herbalife 
131,Morgan 
132,Apple 
133,Apple 
134,Apple 
135,Apple 
136,Johnson 
137,Apple 
138,Ackman 
139,Ackman 
140,Ackman 
141,Ackman 
142,Ackman 
143,Ackman 
144,Ackman 
145,Ackman 
146,Goldman 
147,People 
148,Apple 
149,Morgan 
150,Apple 
151,Business Insider 
152,Apple 
153,Goldman 
154,Ackman 
155,Reuters 
156,People 
157,Ackman 
158,Apple 
159,Apple 
160,Apple 
161,Apple 
162,Apple 
163,Apple 
164,Apple 
165,Apple 
166,Apple 
167,Apple 
168,Apple 
169,Apple 
170,Apple 
171,Apple 
172,Reuters 
173,Apple 
174,Amazon 
175,Amazon 
176,Amazon 
177,Amazon 
178,Apple 
179,Tesla 
180,Apple 
181,Facebook 
182,Facebook 
183,Facebook 
184,Facebook 
185,Facebook 
186,Morgan 
187,Apple 
188,Apple 
189,Apple 
190,Apple 
191,Apple 
192,Apple 
193,Michigan 
194,Apple 
195,Apple 
196,Apple 
197,Apple 
198,Apple 
199,Apple 
200,Apple 
201,Google 
202,Google 
203,Google 
204,Ackman 
205,Ackman 
206,Business Insider 
207,Goldman 
208,Goldman 
209,Goldman Sachs 
210,Goldman Sachs 
211,Goldman 
212,Microsoft 
213,Microsoft 
214,Goldman 
215,Goldman 
216,Goldman 
217,Apple 
218,Apple 
219,Apple 
220,Apple 
221,Apple 
222,Ackman 
223,Ackman 
224,Ackman 
