,0
0,1.2%
1,47%
2,39.6%
3,47%
4,47%
5,4.2%
6,6.2%
7,47%
8,35%
9,39.6%
10,4.2%
11,6.2%
12,15%
13,20%
14,3.8%
15,23.8%
16,39.6%
17,15%
18,18.8%
19,80-90%
20,40%
21,10%
22,1.7%
23,1.5%
24,1.4%
25,0.9%
26,9.3%
27,26%
28,1.5%
29,0.4%
30,7-8%
31,50%
32,16.0%
33,11.8%
34,3.1%
35,2.9%
36,5-6%
37,35%
38,39.6%
39,15%
40,20%
41,40%
42,55%
43,15%
44,35%
45,39.5%
46,15%
47,15%
48,20%
49,10%
50,1.3%
51,1.5%
52,6.1%
53,6.8%
54,1.4%
55,20%
56,39.6%
57,15%
58,39.6%
59,35%
60,40%
61,35%
62,40%
63,26%
64,23.8%
65,1.25%
66,70%
67,10%
68,90%
69,1.6%
70,2.0%
71,1.3%
72,1.3%
73,1.3%
74,1.3%
75,2.3%
76,3.5%
77,5.3%
78,17%
79,19%
80,5.5%
81,15.96%
82,3.1%
83,40%
84,2.07%
85,6.67%
86,1.73%
87,8.88%
88,40%
89,69%
90,30%
91,1.73%
92,2.07%
93,48%
94,10%
95,3.60%
96,6.24%
97,13.84%
98,1.8178%
99,49%
100,32%
101,24%
102,35%
103,38%
104,4.348%
105,2.701%
106,100%
107,3.1%
108,2.24%
109,33.4%
110,210%
111,0.19%
112,40%
113,6.5%
114,2.5%
115,40%
116,80%
117,39.6%
118,3.8%
119,23.8%
120,100%
121,50%
122,84.69%
123,50%
124,4.3%
125,1.8%
126,+9%
127,2.83%
128,10.1%
129,8.7%
130,7.0%
131,5.5%
132,6.0%
133,5.5%
134,0.9%
135,0.3%
136,0.18%
137,1.5%
138,11%
139,6.5%
140,11%
141,20%
142,30%
143,30%
144,0.1%
145,7.8%
146,7.7%
147,0.3%
148,2.1%
149,63.6%
150,14.4%
151,1.4%
152,19%
153,13%
154,1.8%
155,2.1%
156,2.1%
157,2.3%
158,20%
159,10%
160,1.3%
161,1.3%
162,34%
163,500%
164,53%
165,0.0%
166,21%
167,45%
168,16%
169,32%
170,16%
171,22%
172,32%
173,7.8%
174,50%
175,61.8%
176,2.8%
177,0.825%
178,6.5%
179,2.5%
180,1.96%
181,7.7%
182,7.8%
183,6.5%
184,1.91%
185,10%
186,0.2%
187,25%
188,10%
189,1.5%
190,14%
191,40%
192,13%
193,6.5%
194,6.5%
195,95%
196,50%
197,20%
198,2.4%
199,25%
200,20%
201,25%
202,2.82%
203,9.2%
204,-0.1%
205,2.23%
206,60%
207,95%
208,-14.5%
209,-6%
210,-4%
211,-0.38%
212,-0.31%
213,-0.09%
214,39%
215,88%
216,4.9%
217,5.1%
218,80%
219,0.27%
220,0.26%
221,0.26%
222,0.24%
223,40%
224,17%
225,15-20%
226,20-30%
227,12%
228,38%
229,4.6%
230,62%
231,11%
232,35%
233,12.5%
234,12.5%
235,1.8%
236,1.8%
237,1.9%
238,1.7%
239,0.26%
240,0.18%
241,0.46%
242,0.37%
243,20%
244,7.5%
245,10.25%
246,40%
247,120%
248,13.6%
249,50%
250,9.3%
251,6.5%
252,12.9%
253,40%
254,0.7%
255,25%
256,10%
257,20%
258,14.5%
259,80%
260,10%
261,13%
262,38%
263,0.5%
264,10%
265,-5.6%
266,12%
267,3.7%
268,10%
269,7-8%
270,3-4%
271,20-30%
272,90%
273,100%
274,23.6%
275,11.8%
276,11.7%
277,10.7%
278,10.6%
279,10.0%
280,88%
281,0.1%
282,0.4%
283,0.8%
284,40%
285,15%
286,72.7%
287,31.0%
288,19.4%
289,28.1%
290,19.0%
291,35.3%
292,38.6%
293,61.1%
294,181.8%
295,12.7%
296,35.4%
297,5.0%
298,43.9%
299,12.0%
300,62.5%
301,0.2%
302,35.4%
303,21.2%
304,20%
305,35%
306,8.24%
307,45%
308,7.8%
309,2.00%
310,69%
311,10%
312,10%
313,2.00%
314,2.50%
315,1.80%
316,2.00%
317,26%
318,13.3%
319,1.1%
320,8.2%
321,13.9%
322,17.5%
323,20%
324,30%
325,5.1%
326,18.1%
327,42.2%
328,23.8%
329,13%
330,38%
331,20%
332,0.7%
333,1.1%
334,0.45%
335,0.3%
336,0.67%
337,30%
338,12.1%
339,2-2.3%
340,2.5%
341,37.1%
342,131.5%
343,4.3%
344,24.2%
345,112%
346,117%
347,27.5%
